	Unnamed: 0	사고내용	사고유형	요일	사고발생시간	경도	위도	법정동	인구밀도
0	0	중상사고	차대차	수요일	보통	126.84158557965554	37.53816407477664	화곡1동	47116
1	1	경상사고	차대사람	수요일	보통	126.84278695892225	37.53024793584721	화곡1동	47116
2	2	경상사고	차대차	수요일	보통	126.85125136081962	37.55391899589152	화곡6동	22609
3	3	경상사고	차대사람	목요일	보통	126.84529787773788	37.53173107773185	화곡1동	47116
4	4	경상사고	차대차	목요일	보통	126.79711899823992	37.58453407228031	방화2동	3690
5	5	경상사고	차대차	금요일	보통	126.83624159855624	37.55491717952375	발산1동	12439
6	6	경상사고	차대차	금요일	보통	126.85121777028633	37.5564876395105	등촌3동	38878
7	7	경상사고	차대차	금요일	사고발생 피크 시간	126.8049762909662	37.56779768901004	방화2동	3690
8	8	중상사고	차대차	금요일	보통	126.84885566372996	37.550805186264405	화곡6동	22609
9	9	경상사고	차대차	금요일	보통	126.79971677606176	37.57925866648895	방화2동	3690
10	10	중상사고	차대차	토요일	보통	126.8035778741916	37.56718555053996	방화2동	3690
11	11	경상사고	차대차	토요일	사고발생 피크 시간	126.8509595552249	37.5575407915589	등촌3동	38878
12	12	경상사고	차대차	토요일	보통	126.83942680503408	37.56474164397329	가양1동	7318
13	13	부상신고사고	차대차	일요일	보통	126.86267056217648	37.55706378365125	등촌1동	38181
14	14	경상사고	차대차	일요일	사고발생 피크 시간	126.80519192837085	37.56774487800274	방화2동	3690
15	15	중상사고	차대차	월요일	보통	126.8567613787774	37.56354844530773	가양3동	30276
16	16	사망사고	차대사람	월요일	보통	126.8169056434022	37.57337450169667	방화3동	8990
17	17	중상사고	차대차	화요일	보통	126.827912363342	37.5595750643846	발산1동	12439
18	18	중상사고	차대차	화요일	보통	126.8410401014832	37.54098224228331	화곡본동	35318
19	19	경상사고	차대차	화요일	보통	126.81669918033208	37.57614041640961	방화3동	8990
20	20	경상사고	차대차	화요일	사고발생 피크 시간	126.8664232089429	37.5524510730228	염창동	24002
21	21	중상사고	차대사람	화요일	사고발생 피크 시간	126.8113241907187	37.57321588467308	방화1동	29176
22	22	경상사고	차대사람	화요일	사고발생 피크 시간	126.83022484262752	37.56053461442349	가양1동	7318
23	23	경상사고	차대차	화요일	보통	126.76825190197592	37.55413681245486	공항동	2896
24	24	경상사고	차대사람	화요일	보통	126.84365234518322	37.54256513109518	화곡본동	35318
25	25	경상사고	차대차	화요일	보통	126.80089191844492	37.5613740624316	공항동	2896
26	26	경상사고	차대차	수요일	보통	126.8511879867992	37.53510758086762	화곡2동	40213
27	27	경상사고	차대차	수요일	보통	126.83633630629116	37.54423679287914	화곡3동	40870
28	28	경상사고	차대차	수요일	보통	126.85106648497452	37.528229637361605	화곡8동	46772
29	29	중상사고	차대사람	수요일	사고발생 피크 시간	126.8492607668564	37.562804293526526	등촌3동	38878
30	30	경상사고	차대차	수요일	사고발생 피크 시간	126.87479042669976	37.54828639434602	염창동	24002
31	31	경상사고	차대사람	수요일	보통	126.84744174198104	37.52858822983594	화곡1동	47116
32	32	경상사고	차대차	목요일	보통	126.8583686534155	37.53191999319685	화곡4동	25390
33	33	경상사고	차대차	목요일	보통	126.84055760862611	37.53021748123023	화곡1동	47116
34	34	경상사고	차대차	목요일	보통	126.84084767974008	37.540981168320336	화곡1동	47116
35	35	중상사고	차대사람	목요일	사고발생 피크 시간	126.82808316023991	37.55946787556773	발산1동	12439
36	36	경상사고	차대차	목요일	사고발생 피크 시간	126.8297808493527	37.55954061913394	가양1동	7318
37	37	경상사고	차대사람	목요일	사고발생 피크 시간	126.8454862341445	37.53348974724437	화곡1동	47116
38	38	경상사고	차대차	금요일	보통	126.86750692208228	37.55416042397192	염창동	24002
39	39	중상사고	차대차	금요일	사고발생 피크 시간	126.81420962965548	37.55370064018028	공항동	2896
40	40	경상사고	차대사람	금요일	사고발생 피크 시간	126.8198959549452	37.548388571452456	발산1동	12439
41	41	중상사고	차대차	금요일	보통	126.87821510442744	37.54894443359594	염창동	24002
43	43	중상사고	차대차	토요일	보통	126.85079400599056	37.553132313190346	화곡6동	22609
44	44	중상사고	차대차	토요일	보통	126.8777199316276	37.54722926851324	염창동	24002
45	45	중상사고	차대차	토요일	보통	126.8362670187046	37.552051052370885	발산1동	12439
46	46	경상사고	차대차	토요일	보통	126.80769531269124	37.56153132775378	공항동	2896
47	47	경상사고	차대차	토요일	보통	126.83558218237064	37.55267814063748	발산1동	12439
48	48	경상사고	차대차	토요일	사고발생 피크 시간	126.85021532952362	37.56371089314201	가양2동	14109
49	49	중상사고	차대차	토요일	보통	126.84542783327286	37.533696733176974	화곡1동	47116
51	51	경상사고	차대차	일요일	보통	126.8734589712354	37.55587767268121	염창동	24002
52	52	중상사고	차대차	일요일	보통	126.8362854314074	37.56529186990291	가양1동	7318
53	53	경상사고	차대차	월요일	보통	126.8517549461626	37.5545977693883	화곡6동	22609
54	54	중상사고	차대사람	월요일	보통	126.8095545332514	37.57477387625551	방화1동	29176
55	55	경상사고	차대차	월요일	보통	126.84722059707924	37.53058799780087	화곡1동	47116
56	56	경상사고	차대사람	월요일	사고발생 피크 시간	126.86811220304384	37.55219873431655	염창동	24002
57	57	중상사고	차대차	월요일	사고발생 피크 시간	126.84850776903374	37.56345812021836	등촌3동	38878
58	58	중상사고	차대사람	화요일	보통	126.86302981936564	37.53214352296803	화곡4동	25390
59	59	중상사고	차대차	화요일	보통	126.85004644283032	37.55317326753177	화곡6동	22609
60	60	경상사고	차대차	화요일	사고발생 피크 시간	126.8523434150812	37.55593498689961	등촌1동	38181
61	61	경상사고	차대차	수요일	보통	126.8582126285919	37.55936510036991	등촌1동	38181
62	62	중상사고	차대차	수요일	보통	126.8124326566214	37.55488007624099	공항동	2896
63	63	경상사고	차대차	수요일	보통	126.8645846962061	37.56231090453917	가양3동	30276
64	64	경상사고	차대차	수요일	사고발생 피크 시간	126.85965992890787	37.56753010738004	가양3동	30276
65	65	경상사고	차대차	수요일	보통	126.82800326905884	37.56710177839676	가양1동	7318
66	66	경상사고	차대차	목요일	보통	126.8241052589459	37.55988682680016	발산1동	12439
67	67	경상사고	차대차	목요일	사고발생 피크 시간	126.84467513792222	37.53305260281024	화곡1동	47116
68	68	경상사고	차대차	목요일	사고발생 피크 시간	126.84449906291576	37.54540906999964	우장산동	31713
69	69	경상사고	차대사람	목요일	사고발생 피크 시간	126.8382859326362	37.55930917848098	가양1동	7318
70	70	경상사고	차대사람	목요일	사고발생 피크 시간	126.84520127839386	37.52853977471941	화곡1동	47116
71	71	경상사고	차대차	목요일	보통	126.82218837333356	37.56026341393372	공항동	2896
72	72	경상사고	차대차	금요일	보통	126.80414922553038	37.571497319308136	방화2동	3690
73	73	경상사고	차대차	금요일	보통	126.8409939784027	37.53979220950336	화곡1동	47116
74	74	중상사고	차대차	금요일	보통	126.83356985238602	37.561256590004	가양1동	7318
75	75	중상사고	차대사람	토요일	보통	126.8329927461726	37.544704678851545	화곡3동	40870
76	76	중상사고	차대사람	토요일	보통	126.81548918233418	37.57347445735071	방화1동	29176
77	77	경상사고	차대차	토요일	보통	126.8387010729075	37.56870348097335	가양1동	7318
78	78	중상사고	차대차	토요일	사고발생 피크 시간	126.81148932233064	37.57126995619101	방화2동	3690
79	79	경상사고	차대차	토요일	사고발생 피크 시간	126.8587098791085	37.531723550312	화곡4동	25390
81	81	부상신고사고	차대차	일요일	사고발생 피크 시간	126.84917597283908	37.55823402051353	등촌3동	38878
82	82	경상사고	차대사람	일요일	사고발생 피크 시간	126.86074877506545	37.5580448716816	등촌1동	38181
83	83	경상사고	차대차	월요일	보통	126.85151385994948	37.549756229828304	화곡6동	22609
84	84	중상사고	차대차	월요일	보통	126.8503089893572	37.53074924434368	화곡8동	46772
85	85	경상사고	차대차	월요일	보통	126.85264431611276	37.55517950879027	화곡6동	22609
86	86	중상사고	차대차	월요일	사고발생 피크 시간	126.84638672119374	37.53146670523632	화곡1동	47116
87	87	경상사고	차대차	화요일	보통	126.79855668194418	37.578575775636	방화2동	3690
88	88	중상사고	차대사람	화요일	보통	126.81407313272992	37.57229449730746	방화1동	29176
89	89	경상사고	차대차	화요일	사고발생 피크 시간	126.81643566405756	37.56532281997815	방화1동	29176
90	90	경상사고	차대사람	화요일	보통	126.851967075432	37.55363449641292	화곡6동	22609
91	91	경상사고	차대차	수요일	보통	126.85325458964562	37.55268613176642	화곡6동	22609
92	93	경상사고	차대사람	수요일	보통	126.84577923731952	37.533635586233416	화곡8동	46772
93	94	경상사고	차대차	수요일	보통	126.79927213514878	37.56265337534593	공항동	2896
94	95	경상사고	차대차	수요일	보통	126.87360735463058	37.55573424494131	염창동	24002
95	96	중상사고	차대사람	목요일	보통	126.83972882399996	37.53051029470031	화곡1동	47116
96	98	중상사고	차대차	목요일	사고발생 피크 시간	126.8510998179925	37.56225558387245	등촌3동	38878
97	99	경상사고	차대차	목요일	사고발생 피크 시간	126.8487323581275	37.52854127342914	화곡8동	46772
98	100	경상사고	차대사람	목요일	보통	126.86379701440758	37.55374390044726	등촌1동	38181
99	101	경상사고	차대차	목요일	보통	126.86339750931808	37.55678828904254	염창동	24002
100	102	중상사고	차대차	금요일	보통	126.79930097481488	37.57891369088695	방화2동	3690
101	103	사망사고	차대사람	금요일	사고발생 피크 시간	126.85315871557732	37.561158231284416	등촌3동	38878
102	104	경상사고	차대차	금요일	사고발생 피크 시간	126.80497654220868	37.567770650315786	방화2동	3690
